seed,step,truth_coefficient,static_weight,dynamic_weight,dynamic_lag,window_start,window_end_exclusive,sample_count
101,510,0.4013966480,0.3013213664,0.5930285152,1,390,510,119
101,511,0.4041899441,0.3013213664,0.5926660918,1,391,511,119
101,512,0.4069832402,0.3013213664,0.5876139397,1,392,512,119
101,513,0.4097765363,0.3013213664,0.5849448537,1,393,513,119
101,514,0.4125698324,0.3013213664,0.5782437637,1,394,514,119
101,515,0.4153631285,0.3013213664,0.5753183456,1,395,515,119
101,516,0.4181564246,0.3013213664,0.5625282256,1,396,516,119
101,517,0.4209497207,0.3013213664,0.5549097384,1,397,517,119
101,518,0.4237430168,0.3013213664,0.5539410000,2,398,518,118
101,519,0.4265363128,0.3013213664,0.5612384981,2,399,519,118
101,520,0.4293296089,0.3013213664,0.5635421101,1,400,520,119
101,521,0.4321229050,0.3013213664,0.5785927009,1,401,521,119
101,522,0.4349162011,0.3013213664,0.5804922968,1,402,522,119
101,523,0.4377094972,0.3013213664,0.5836715850,1,403,523,119
101,524,0.4405027933,0.3013213664,0.5849137499,1,404,524,119
101,525,0.4432960894,0.3013213664,0.5809226775,1,405,525,119
101,526,0.4460893855,0.3013213664,0.5707106727,2,406,526,118
101,527,0.4488826816,0.3013213664,0.5676759577,2,407,527,118
101,528,0.4516759777,0.3013213664,0.5589475119,1,408,528,119
101,529,0.4544692737,0.3013213664,0.5468260596,1,409,529,119
101,530,0.4572625698,0.3013213664,0.5440409168,1,410,530,119
101,531,0.4600558659,0.3013213664,0.5356015697,1,411,531,119
101,532,0.4628491620,0.3013213664,0.5381501847,1,412,532,119
101,533,0.4656424581,0.3013213664,0.5362180896,1,413,533,119
101,534,0.4684357542,0.3013213664,0.5439198290,2,414,534,118
101,535,0.4712290503,0.3013213664,0.5531896567,1,415,535,119
101,536,0.4740223464,0.3013213664,0.5855453289,1,416,536,119
101,537,0.4768156425,0.3013213664,0.5960361087,2,417,537,118
101,538,0.4796089385,0.3013213664,0.5871208126,2,418,538,118
101,539,0.4824022346,0.3013213664,0.5888250457,2,419,539,118
101,540,0.4851955307,0.3013213664,0.5774806115,2,420,540,118
101,541,0.4879888268,0.3013213664,0.5778537509,2,421,541,118
101,542,0.4907821229,0.3013213664,0.5754734419,2,422,542,118
101,543,0.4935754190,0.3013213664,0.5827098818,2,423,543,118
101,544,0.4963687151,0.3013213664,0.5865577026,2,424,544,118
101,545,0.4991620112,0.3013213664,0.5881940093,2,425,545,118
101,546,0.5019553073,0.3013213664,0.6313838427,2,426,546,118
101,547,0.5047486034,0.3013213664,0.6519839201,2,427,547,118
101,548,0.5075418994,0.3013213664,0.6614563399,2,428,548,118
101,549,0.5103351955,0.3013213664,0.6657936844,2,429,549,118
101,550,0.5131284916,0.3013213664,0.6659621589,2,430,550,118
101,551,0.5159217877,0.3013213664,0.6655028776,2,431,551,118
101,552,0.5187150838,0.3013213664,0.6658409762,2,432,552,118
101,553,0.5215083799,0.3013213664,0.6532775605,2,433,553,118
101,554,0.5243016760,0.3013213664,0.6453310028,2,434,554,118
101,555,0.5270949721,0.3013213664,0.6558940598,2,435,555,118
101,556,0.5298882682,0.3013213664,0.6576285034,2,436,556,118
101,557,0.5326815642,0.3013213664,0.6559520635,2,437,557,118
101,558,0.5354748603,0.3013213664,0.6571988690,2,438,558,118
101,559,0.5382681564,0.3013213664,0.6568725895,2,439,559,118
101,560,0.5410614525,0.3013213664,0.6579644211,2,440,560,118
101,561,0.5438547486,0.3013213664,0.6610362153,2,441,561,118
101,562,0.5466480447,0.3013213664,0.6729213203,2,442,562,118
101,563,0.5494413408,0.3013213664,0.6773924341,2,443,563,118
101,564,0.5522346369,0.3013213664,0.6811814455,2,444,564,118
101,565,0.5550279330,0.3013213664,0.6818090725,2,445,565,118
101,566,0.5578212291,0.3013213664,0.6790239427,2,446,566,118
