signal,month_count,missing_count,sha256,duplicate_of,gate_status
unemployment_rate,168,0,daf84d3fe22ea7ac5869400a426323628f1c6aefd81e57bf28e2cfacb44a1c4f,,PASS
consumer_confidence,168,0,32238a5dcea7afedebc1ae52c2d1370937605ebcf483ae8030f2838357b89042,,PASS
hicp,168,0,5d692d5fa57de024ffa47f341d6f5fd99c9494b62514e871c8ab5f95b0055748,,PASS
industry_confidence,168,0,74861fc3b36b220c6525d80559a0e353b3d74cb67d6bf3806e4bfbe1ec73e1a6,,PASS
construction_confidence,168,0,a8d036eae501d250d6479055cc7a169268a626e261ec91de8cff1f819c394475,,PASS
economic_sentiment,168,0,d7f7b2f37ddeb5504b6488e4216d9faeb36ba2e0143d6fdfa947970bc4bcaf76,,PASS
employment_expectations,168,0,3c827686da08d0f9214d9a75cd6ff5f847dbaa011e7afb6ca54301aece4130e3,,PASS
industry_employment_expectations,168,0,135b3bdfe3eb6576948dadaa9d1cd5f2f335e79c024fde27340121c5a80e6196,,PASS
construction_production,168,0,be83d2e78623a1b31ddaa00320fdea4234993c3eb0d5bb35c4e703a7dbf06acf,,PASS
retail_employment,168,0,29a57b719edcf299fe13758cad36381ac81c2164082b3e35a81b2187178e110e,,PASS
industrial_turnover,168,0,15b3fe1ddce7a10e660af186742bbf67ee04c60e53acd7211815211f01bebcc8,,PASS
order_book_assessment,168,0,5c853ba19a53ba71e79c9b18c80a1c477f2f9ecd1d6c126c6fa8f976110ec739,,PASS
production_expectations,168,0,4c3c71c212202d195b1709a91ffb3101a2f66ca794a733d7a4138d6eeb514154,,PASS
domestic_energy_producer_prices,168,0,b018430e65a6077c4250c80a269238d24689902cec9afdf89f1157532ca9ab39,,PASS
services_confidence,168,0,04236fb5160741f444991ad061cd5bd3d19ffb83f343df94da8a9d5f8dc7002b,,PASS
